,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,178,John Brown,WR,92.52,-41.98,91.8,-43.2,100.3,-34.2,65,-67,143,2,99,-36
,179,Mohamed Sanu,WR,90.88,-43.62,84,-51,99.7,-34.8,90,-42,59,-82,123,-12
,180,Devin Funchess,WR,76.29,-51.46,60.3,-61.2,99.6,-34.9,63,-69,75,-66,,
,181,Tyler Lockett,WR,87.62,-40.13,80.4,-41.1,97.8,-36.7,83,-49,102,-39,,
,182,Taylor Gabriel,WR,87.93,-46.57,77.1,-57.9,97.2,-37.3,105,-27,24,-117,69,-66
,183,Corey Coleman,WR,62.88,-43.72,36,-43.2,97.2,-37.3,60,-72,,,,
,184,Sterling Shepard,WR,86.44,-20.16,71.4,-7.8,97.1,-37.4,119,-13,,,,
,185,Hunter Henry,TE,77.08,4.12,57.6,4.2,96.7,3.3,96,7,,,,
,186,Martellus Bennett,TE,99.78,9.27,99.6,11.1,96.7,3.3,113,24,62,-25,132,42
,187,Jamaal Charles,RB,65.34,-70.76,51.6,-76.6,96.1,-50.9,11,-121,80,-43,210,89
,188,Titans D/ST,D/ST,38.16,0,0,0,95.4,0,,,,,,
,189,Zay Jones,WR,38.16,-15.64,0,0,95.4,-39.1,,,,,,
,190,Jason Witten,TE,89.13,-1.38,85.9,-2.6,94.7,1.3,83,-6,87,0,100,10
,191,Andrew Franks,K,37.88,-12,0,0,94.7,-30,,,,,,
,192,Jets D/ST,D/ST,37.72,-0.44,0,0,94.3,-1.1,,,,,,
,193,Chiefs D/ST,D/ST,37.6,-0.56,0,0,94,-1.4,,,,,,
,194,Chris Thompson,RB,87.2,-48.9,79,-49.2,94,-53,101,-31,58,-65,10,-111
,195,Eric Ebron,TE,84.71,-5.8,78.1,-10.4,93.4,0,83,-6,84,-3,31,-59
,196,Kenny Golladay,WR,37.32,-16.48,0,0,93.3,-41.2,,,,,,
,197,James White,RB,91.67,-44.43,87.9,-40.3,93.3,-53.7,104,-28,83,-40,6,-115
,198,Austin Hooper,TE,55.88,-17.08,28.2,-25.2,92.7,-0.7,47,-42,,,,
,199,Tyler Eifert,TE,85.84,-4.67,83.8,-4.7,92.6,-0.8,69,-20,140,53,4,-86
,200,Falcons D/ST,D/ST,36.88,-1.28,0,0,92.2,-3.2,,,,,,
,201,Kenny Stills,WR,102.49,-32.01,105.9,-29.1,92.1,-42.4,127,-5,62,-79,111,-24
,202,Robby Anderson,WR,66.04,-40.56,43.8,-35.4,92.1,-42.4,73,-59,,,,
,203,Coby Fleener,TE,89,-1.51,86.6,-1.9,92,-1.4,89,0,69,-18,125,35
,204,Kevin White,WR,44.36,-62.24,12,-67.2,90.9,-43.6,20,-112,,,,
