,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,853,Matt Blanchard,QB,0,-106.56,0,0,0,-266.4,,,,,,
,854,Dustin Vaughan,QB,0,-106.56,0,0,0,-266.4,,,,,,
,855,Senorise Perry,RB,0,-58.8,0,0,0,-147,,,,,null,
,856,Glenn Winston,RB,-0.45,-77.7,-0.9,-37.8,0,-147,,,-3,-126,null,
,857,Jordan Gay,K,0,-49.88,0,0,0,-124.7,,,,,,
,858,Walter Powell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,859,Marcel Jensen,TE,0,-37.36,0,0,0,-93.4,,,,,,
,860,Asante Cleveland,TE,0,-37.36,0,0,0,-93.4,,,,,,
,861,Rashad Ross,WR,4,-123.75,7.8,-113.7,0,-134.5,1,-131,24,-117,null,
,862,Nic Jacobs,TE,0.55,-54.36,1.1,-34,0,-93.4,,,1,-86,8,-82
,863,Freddie Martino,WR,8,-98.6,12,-67.2,0,-134.5,20,-112,,,null,
,864,Blake Annen,TE,0,-37.36,0,0,0,-93.4,,,,,,
,865,RaShaun Allen,TE,0,-37.36,0,0,0,-93.4,,,,,,
,866,Justin Perillo,TE,4,-82.01,7.2,-72.3,0,-93.4,4,-85,16,-71,,
,867,Connor Shaw,QB,0.2,-119.66,0.4,-26.2,0,-266.4,,,,,4,-262
,868,Kevin Smith,WR,0.9,-74.05,1.8,-40.5,0,-134.5,,,6,-135,,
,869,Andre Debose,WR,0,-53.8,0,0,0,-134.5,,,,,,
,870,James O'Shaughnessy,TE,1.35,-49.06,2.7,-23.4,0,-93.4,null,,9,-78,,
,871,MyCole Pruitt,TE,1.75,-84.26,3.3,-76.2,0,-93.4,1,-88,9,-78,,
,872,DiAndre Campbell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,873,Gerald Christian,TE,0.4,-72.56,0.6,-52.8,0,-93.4,1,-88,,,,
,874,Issac Blakeney,WR,0,-53.8,0,0,0,-134.5,,,,,,
,875,Geremy Davis,WR,0,-53.8,0,0,0,-134.5,,,,,,
,876,Da'Ron Brown,WR,0,-53.8,0,0,0,-134.5,,,,,,
,877,Marcus Murphy,RB,-0.3,-77.55,-0.6,-37.5,0,-147,null,,-2,-125,,
,878,Kenny Bell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,879,Blake Bell,TE,6.45,-79.56,11.1,-68.4,0,-93.4,9,-80,19,-68,,
,880,Dres Anderson,WR,0,-53.8,0,0,0,-134.5,,,,,,
,881,Keith Mumphery,WR,4.75,-123,8.1,-113.4,0,-134.5,7,-125,13,-128,,
,882,Jalston Fowler,RB,3.8,-126.25,7.2,-108.9,0,-147,2,-130,20,-103,,
,883,DeAndrew White,WR,0.3,-74.65,0.6,-41.7,0,-134.5,,,2,-139,,
,884,Malcolm Johnson,RB,1.5,-128.55,2.4,-113.7,0,-147,3,-129,2,-121,,
,885,Dylan Thompson,QB,0,-106.56,0,0,0,-266.4,,,,,,
,886,Kaelin Clay,WR,0,-53.8,0,0,0,-134.5,,,,,,
,887,Joey Iosefa,RB,0.75,-76.5,1.5,-35.4,0,-147,,,5,-118,,
,888,Chris Manhertz,TE,0.4,-72.56,0.6,-52.8,0,-93.4,1,-88,,,,
,889,Tre McBride,WR,0,-53.8,0,0,0,-134.5,,,,,,
,890,Dezmin Lewis,WR,0,-53.8,0,0,0,-134.5,,,,,,
,891,Garrett Grayson,QB,0,-106.56,0,0,0,-266.4,,,,,,
,892,David Cobb,RB,3,-74.25,6,-30.9,0,-147,,,20,-103,,
,893,Devin Smith,WR,3.2,-124.55,6,-115.5,0,-134.5,2,-130,16,-125,,
,894,Evan Spencer,WR,0,-53.8,0,0,0,-134.5,,,,,,
,895,Karlos Williams,RB,16.95,-60.3,33.9,-3,0,-147,,,113,-10,,
,896,Darren Waller,TE,8.7,-77.31,13.2,-66.3,0,-93.4,21,-68,2,-85,,
,897,Kenny Hilliard,RB,0,-58.8,0,0,0,-147,,,,,,
,898,Josh Robinson,RB,0.75,-76.5,1.5,-35.4,0,-147,,,5,-118,,
,899,Busta Anderson,TE,0,-37.36,0,0,0,-93.4,,,,,,
,900,Kennard Backman,TE,0,-37.36,0,0,0,-93.4,,,,,,
,901,Tyler Varga,RB,0.3,-76.95,0.6,-36.3,0,-147,,,2,-121,,
,902,Dorial Green-Beckham,WR,32.55,-95.2,54.9,-66.6,0,-134.5,51,-81,81,-60,,
,903,Matt Jones,RB,41.05,-89,68.7,-47.4,0,-147,67,-65,95,-28,,
,904,Mike Davis,RB,6.3,-123.75,10.2,-105.9,0,-147,12,-120,10,-113,,
,905,Vince Mayle,WR,0,-53.8,0,0,0,-134.5,,,,,,
,906,DeAndre Smelter,WR,0.8,-105.8,1.2,-78,0,-134.5,2,-130,,,,
,907,Duron Carter,WR,0,-53.8,0,0,0,-134.5,,,,,,
,908,Antwan Goodley,WR,0,-53.8,0,0,0,-134.5,,,,,,
,909,Chris Matthews,WR,3.15,-71.8,6.3,-36,0,-134.5,,,21,-120,,
,910,Michael Dyer,RB,0,-58.8,0,0,0,-147,,,,,,
,911,John Crockett,RB,0.3,-76.95,0.6,-36.3,0,-147,,,2,-121,,
,912,Terrence Magee,RB,0.55,-129.5,0.9,-115.2,0,-147,1,-131,1,-122,,
,913,Seantavius Jones,WR,0,-53.8,0,0,0,-134.5,,,,,,
,914,Gus Johnson,RB,0,-58.8,0,0,0,-147,,,,,,
,915,Kyle Brindza,K,0,-49.88,0,0,0,-124.7,,,,,,
,916,Jarryd Hayne,RB,0.9,-76.35,1.8,-35.1,0,-147,,,6,-117,,
,917,Brandon Wegher,RB,0,-58.8,0,0,0,-147,,,,,,
,918,Alonzo Harris,RB,0.3,-76.95,0.6,-36.3,0,-147,,,2,-121,,
,919,E.J. Bibbs,TE,0.15,-50.26,0.3,-25.8,0,-93.4,,,1,-86,,
,920,Khari Lee,TE,0,-37.36,0,0,0,-93.4,,,,,,
,921,Nikita Whitlock,RB,0,-58.8,0,0,0,-147,,,,,,
,922,Quincy Enunwa,WR,49.2,-78.55,76.2,-45.3,0,-134.5,111,-21,32,-109,null,
,923,Jerome Cunningham,TE,0.9,-49.51,1.8,-24.3,0,-93.4,,,6,-81,,
,924,Matt Hazel,WR,0,-53.8,0,0,0,-134.5,,,,,,
,925,Raheem Mostert,RB,0.4,-111.2,0.6,-78.6,0,-147,1,-131,,,,
,926,Tyler Murphy,WR,0,-53.8,0,0,0,-134.5,,,,,,
,927,Bradley Marquez,WR,2.65,-125.1,4.5,-117,0,-134.5,4,-128,7,-134,,
,928,Wes Saxton,TE,0,-37.36,0,0,0,-93.4,,,,,,
,929,Trey Williams,RB,0.15,-77.1,0.3,-36.6,0,-147,,,1,-122,,
,930,Javontee Herndon,WR,2.85,-72.1,5.7,-36.6,0,-134.5,,,19,-122,,
,931,Daniel Brown,TE,0,-37.36,0,0,0,-93.4,,,,,,
,932,Eric Rogers,WR,0,-53.8,0,0,0,-134.5,,,,,,
,933,Roberto Aguayo,K,0,-49.88,0,0,0,-124.7,,,,,,
,934,Jacoby Brissett,QB,11.2,-202.56,16.8,-144,0,-266.4,28,-240,,,,
,935,Kenneth Dixon,RB,28.8,-82.8,43.2,-36,0,-147,72,-60,,,,
,936,Cardale Jones,QB,0.8,-212.96,1.2,-159.6,0,-266.4,2,-266,,,,
,937,Kevin Hogan,QB,6.8,-206.96,10.2,-150.6,0,-266.4,17,-251,,,,
,938,Moritz Bohringer,WR,0,-53.8,0,0,0,-134.5,,,,,,
,939,Jerell Adams,TE,7.2,-65.76,10.8,-42.6,0,-93.4,18,-71,,,,
,940,Nate Sudfeld,QB,0,-106.56,0,0,0,-266.4,,,,,,
,941,David Morgan II,TE,0,-37.36,0,0,0,-93.4,,,,,,
,942,Kolby Listenbee,WR,0,-53.8,0,0,0,-134.5,,,,,,
,943,Cody Core,WR,8,-98.6,12,-67.2,0,-134.5,20,-112,,,,
,944,Jeff Driskel,QB,0,-106.56,0,0,0,-266.4,,,,,,
,945,Kelvin Taylor,RB,0,-58.8,0,0,0,-147,,,,,,
,946,Darius Jackson,RB,0,-58.8,0,0,0,-147,,,,,,
,947,Brandon Doughty,QB,0,-106.56,0,0,0,-266.4,,,,,,
,948,Devin Lucien,WR,0,-53.8,0,0,0,-134.5,,,,,,
,949,Daniel Braverman,WR,0,-53.8,0,0,0,-134.5,,,,,,
,950,Thomas Duarte,TE,0,-37.36,0,0,0,-93.4,,,,,,
,951,Dwayne Washington,RB,15.6,-96,23.4,-55.8,0,-147,39,-93,,,,
,952,Devin Lewis Fuller,WR,0,-53.8,0,0,0,-134.5,,,,,,
,953,Keith Marshall,RB,0,-58.8,0,0,0,-147,,,,,,
,954,Kenny Lawler,WR,0,-53.8,0,0,0,-134.5,,,,,,
,955,Zac Brooks,RB,0,-58.8,0,0,0,-147,,,,,,
,956,Beau Sandland,TE,0,-37.36,0,0,0,-93.4,,,,,,
,957,Josh Ferguson,RB,6.4,-105.2,9.6,-69.6,0,-147,16,-116,,,,
,958,Cole Wick,TE,0.8,-72.16,1.2,-52.2,0,-93.4,2,-87,,,,
,959,Taylor Heinicke,QB,0,-106.56,0,0,0,-266.4,,,,,,
,960,Terrell Watson,RB,3.6,-108,5.4,-73.8,0,-147,9,-123,,,,
,961,Brandon Wilds,RB,2,-109.6,3,-76.2,0,-147,5,-127,,,,
,962,Jhurell Pressley,RB,0,-58.8,0,0,0,-147,,,,,,
,963,Anthony Denham,TE,0,-37.36,0,0,0,-93.4,,,,,,
,964,Byron Marshall,RB,2.8,-108.8,4.2,-75,0,-147,7,-125,,,,
,965,Max McCaffrey,WR,0,-53.8,0,0,0,-134.5,,,,,,
,966,Reggie Bell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,967,Jake Kumerow,WR,0,-53.8,0,0,0,-134.5,,,,,,
,968,George Atkinson,RB,3.6,-108,5.4,-73.8,0,-147,9,-123,,,,
,969,James Wilder Jr.,RB,0,-58.8,0,0,0,-147,,,,,,
,970,D.J. Foster,RB,1.2,-110.4,1.8,-77.4,0,-147,3,-129,,,,
,971,Bryce Williams,TE,0,-37.36,0,0,0,-93.4,,,,,,
,972,Marquez North,WR,0,-53.8,0,0,0,-134.5,,,,,,
,973,Andy Jones,WR,0,-53.8,0,0,0,-134.5,,,,,,
,974,Roger Lewis,WR,8.8,-97.8,13.2,-66,0,-134.5,22,-110,,,,
,975,Xavier Rush,WR,0,-53.8,0,0,0,-134.5,,,,,,
,976,Dom Williams,WR,0,-53.8,0,0,0,-134.5,,,,,,
,977,R.J. Harris,WR,0,-53.8,0,0,0,-134.5,,,,,,
,978,Jordan Taylor,WR,12.4,-94.2,18.6,-60.6,0,-134.5,31,-101,,,,
,979,Bernard Reedy,WR,0,-53.8,0,0,0,-134.5,,,,,,
,980,Paul McRoberts,WR,0.4,-106.2,0.6,-78.6,0,-134.5,1,-131,,,,
,981,Anthony Dable,WR,0,-53.8,0,0,0,-134.5,,,,,,
,982,Darius Jennings,WR,1.8,-73.15,3.6,-38.7,0,-134.5,,,12,-129,,
,983,Devon Cajuste,WR,0,-53.8,0,0,0,-134.5,,,,,,
,984,Mitch Mathews,WR,0,-53.8,0,0,0,-134.5,,,,,,
,985,Stephen Morris,QB,0,-106.56,0,0,0,-266.4,,,,,,
,986,Dreamius Smith,RB,0,-58.8,0,0,0,-147,,,,,,
,987,Devon Johnson,RB,0,-58.8,0,0,0,-147,,,,,,
,988,Keyarris Garrett,WR,0,-53.8,0,0,0,-134.5,,,,,,
,989,Alan Cross,TE,4,-68.96,6,-47.4,0,-93.4,10,-79,,,,
,990,Braedon Bowman,TE,0,-37.36,0,0,0,-93.4,,,,,,
,991,Tanner McEvoy,WR,11.2,-95.4,16.8,-62.4,0,-134.5,28,-104,,,,
,992,Brian Parker,TE,0.15,-50.26,0.3,-25.8,0,-93.4,,,1,-86,,
,993,Bryce Treggs,WR,3.6,-103,5.4,-73.8,0,-134.5,9,-123,,,,
,994,Troymaine Pope,RB,2,-109.6,3,-76.2,0,-147,5,-127,,,,
,995,Glenn Gronkowski,RB,0,-58.8,0,0,0,-147,,,,,,
,996,Joe Callahan,QB,0,-106.56,0,0,0,-266.4,,,,,,
,997,Johnny Holton,WR,2.4,-104.2,3.6,-75.6,0,-134.5,6,-126,,,,
,998,Julian Howsare,RB,0,-58.8,0,0,0,-147,,,,,,
,999,Kenneth Farrow,RB,9.6,-102,14.4,-64.8,0,-147,24,-108,,,,
,1000,Nelson Spruce,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1001,Paul Lasike,RB,0.4,-111.2,0.6,-78.6,0,-147,1,-131,,,,
,1002,Scott Simonson,TE,0.15,-50.26,0.3,-25.8,0,-93.4,,,1,-86,,
,1003,Peyton Barber,RB,12.4,-99.2,18.6,-60.6,0,-147,31,-101,,,,
,1004,Don Jackson,RB,1.2,-110.4,1.8,-77.4,0,-147,3,-129,,,,
,1005,Paul Turner,WR,5.2,-101.4,7.8,-71.4,0,-134.5,13,-119,,,,
,1006,George Farmer,RB,0.4,-111.2,0.6,-78.6,0,-147,1,-131,,,,
,1007,Mack Brown,RB,5.6,-106,8.4,-70.8,0,-147,14,-118,,,,
,1008,D.J. Tialavea,TE,2.4,-70.56,3.6,-49.8,0,-93.4,6,-83,,,,
,1009,Alex Ellis,TE,0.4,-72.56,0.6,-52.8,0,-93.4,1,-88,,,,
,1010,Aldrick Rosas,K,0,-49.88,0,0,0,-124.7,,,,,,
,1011,Brad Kaaya,QB,0,-106.56,0,0,0,-266.4,,,,,,
,1012,Chad Kelly,QB,0,-106.56,0,0,0,-266.4,,,,,,
,1013,Marquez Williams,RB,0,-58.8,0,0,0,-147,,,,,,
,1014,Joshua Dobbs,QB,0,-106.56,0,0,0,-266.4,,,,,,
,1015,Mason Schreck,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1016,Jeremy Sprinkle,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1017,T.J. Logan,RB,0,-58.8,0,0,0,-147,,,,,,
,1018,Robert Davis,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1019,Sam Rogers,RB,0,-58.8,0,0,0,-147,,,,,,
,1020,Isaiah Ford,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1021,Noah Brown,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1022,Stacy Coley,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1023,Davis Webb,QB,0,-106.56,0,0,0,-266.4,,,,,,
,1024,Freddie Stevenson,RB,0,-58.8,0,0,0,-147,,,,,,
,1025,Austin Carr,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1026,Matt Breida,RB,0,-58.8,0,0,0,-147,,,,,,
,1027,Corey Clement,RB,0,-58.8,0,0,0,-147,,,,,,
,1028,Darius Powe,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1029,Antony Auclair,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1030,Ricky Seals-Jones,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1031,Hakeem Valles,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1032,Cole Hikutini,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1033,Rashawn Scott,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1034,Rannell Hall,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1035,Algernon Brown,RB,0,-58.8,0,0,0,-147,,,,,,
,1036,Jahad Thomas,RB,0,-58.8,0,0,0,-147,,,,,,
,1037,Scott SimonsonPeyton BarberDon JacksonPaul TurnerGeorge FarmerMack BrownD.J. TialaveaAlex EllisAldrick RosasBrad KaayaChad KellyMarquez WilliamsJoshua DobbsNathan PetermanMason SchreckJeremy SprinkleT.J. LoganRobert DavisSam RogersIsaiah FordChris CarsonNoah BrownStacy ColeyDavis WebbFreddie StevensonAustin CarrMatt BreidaCorey ClementDarius PoweAntony AuclairRicky Seals-JonesHakeem VallesCole HikutiniRashawn ScottRannell HallAlgernon BrownJahad Thomas,RB,0,-58.8,0,0,0,-147,,,,,,
,1038,Scott SimonsonPeyton BarberDon JacksonPaul TurnerGeorge FarmerMack BrownD.J. TialaveaAlex EllisAldrick RosasBrad KaayaChad KellyMarquez WilliamsJoshua DobbsNathan PetermanMason SchreckJeremy SprinkleT.J. LoganRobert DavisSam RogersIsaiah FordChris CarsonNoah BrownStacy ColeyDavis WebbFreddie StevensonAustin CarrMatt BreidaCorey ClementDarius PoweAntony AuclairRicky Seals-JonesHakeem VallesCole HikutiniRashawn ScottRannell HallAlgernon BrownJahad Thomas,RB,0,-58.8,0,0,0,-147,,,,,,
,1039,Andre Jerome Caldwell,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1040,Josh Javon Johnson,QB,0,-106.56,0,0,0,-266.4,,,,,,
,1041,Charles D. Johnson,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1042,David Morgan II,TE,0,-37.36,0,0,0,-93.4,,,,,,
,1043,Devin Lewis Fuller,WR,0,-53.8,0,0,0,-134.5,,,,,,
,1044,James Wilder Jr.,RB,0,-58.8,0,0,0,-147,,,,,,
,1045,Younghoe Koo,K,0,-49.88,0,0,0,-124.7,,,,,,
,1046,Tanner Gentry,WR,0,-53.8,0,0,0,-134.5,,,,,,
