267,Deonte Thompson\ThomDe04,CHI,WR,27,16,6,0,0,0,0,0,0,0,,0,36,22,249,11.32,2,35,60.9,45.9,,111,
268,Landry Jones\JoneLa02,PIT,QB,27,8,2,53,86,558,4,2,6,-4,-0.67,0,0,0,0,,0,34,38.9,35.9,,41,
269,Bryan Walters\WaltBr00,JAX,WR,29,10,3,0,0,0,0,0,1,4,4.00,0,34,24,231,9.63,2,34,61.5,45.5,,112,
270,Geronimo Allison\AlliGe01,GNB,WR,22,10,2,0,0,0,0,0,0,0,,0,22,12,202,16.83,2,32,47.2,38.2,,114,
271,Corey Brown\BrowPh00,CAR,WR,25,16,8,0,0,0,0,0,2,6,3.00,0,53,27,276,10.22,1,32,63.2,45.7,,113,
272,Corey Grant\GranCo00,JAX,RB,28,11,1,0,0,0,0,0,32,164,5.13,1,7,4,35,8.75,1,32,38.9,33.9,,76,
273,Bryce Petty\PettBr01,NYJ,QB,25,6,4,75,133,809,3,7,5,19,3.80,0,0,0,0,,0,32,43.3,39.3,,42,
274,Peyton Barber\BarbPe01,TAM,RB,22,15,1,0,0,0,0,0,55,223,4.05,1,6,5,28,5.60,0,31,39.1,33.6,,77,
275,Eric Decker\DeckEr00,NYJ,WR,29,3,3,0,0,0,0,0,0,0,,0,21,9,194,21.56,2,31,43.4,35.9,,115,
276,Andre Holmes\HolmAn00,OAK,WR,28,16,2,0,0,0,0,0,0,0,,0,25,14,126,9.00,3,31,47.6,37.6,,118,
277,Rod Streater\StreRo00,SFO,WR,28,16,2,0,0,0,0,0,0,0,,0,27,18,191,10.61,2,31,52.1,40.1,,116,
278,Jordan Taylor\TaylJo01,DEN,WR,24,16,0,0,0,0,0,0,0,0,,0,25,16,209,13.06,2,31,50.9,38.9,,117,
279,Virgil Green\GreeVi00,DEN,TE,28,12,11,0,0,0,0,0,0,0,,0,37,22,237,10.77,1,30,54.7,40.7,,42,
280,Kenjon Barner\BarnKe00,PHI,RB,27,13,0,0,0,0,0,0,27,129,4.78,2,11,5,42,8.40,0,29,37.1,31.6,,78,
281,C.J. Uzomah\UzomC.00,CIN,TE,24,10,8,0,0,0,0,0,0,0,,0,38,25,234,9.36,1,29,57.4,41.9,,43,
282,Cameron Artis-Payne\ArtiCa00,CAR,RB,24,3,3,0,0,0,0,0,36,144,4.00,2,1,1,11,11.00,0,28,31.5,28.0,,80,
283,Jacoby Brissett\BrisJa00,NWE,QB,23,3,2,34,55,400,0,0,16,83,5.19,1,0,0,0,,0,28,32.3,28.3,,44,
284,Nick Foles\FoleNi00,KAN,QB,27,3,1,36,55,410,3,0,4,-4,-1.00,0,0,0,0,,0,28,31.0,28.0,,45,
285,Paxton Lynch\LyncPa00,DEN,QB,22,3,2,49,83,497,2,1,11,25,2.27,0,0,0,0,,0,28,32.4,29.4,,43,
286,Tanner McEvoy\McEvTa01,SEA,WR,23,14,0,1,1,43,0,0,0,0,,0,11,9,140,15.56,2,28,39.7,32.2,,119,
287,Kerwynn Williams\WillKe05,ARI,RB,25,10,0,0,0,0,0,0,18,157,8.72,2,2,1,6,6.00,0,28,32.3,28.8,,79,
288,Jaron Brown\BrowJa03,ARI,WR,26,7,2,0,0,0,0,0,0,0,,0,22,11,187,17.00,1,27,38.7,30.2,,121,
289,Bennie Fowler\FowlBe00,DEN,WR,25,13,0,0,0,0,0,0,0,0,,0,24,11,145,13.18,2,27,40.5,32.0,,122,
290,DuJuan Harris\HarrDu01,SFO,RB,28,10,1,0,0,0,0,0,38,138,3.63,0,9,8,115,14.38,1,27,43.3,31.3,,81,
291,Chester Rogers\RogeCh02,IND,WR,22,14,2,0,0,0,0,0,0,0,,0,34,19,273,14.37,0,27,49.3,36.8,,120,
292,Shane Vereen\VereSh00,NYG,RB,27,5,1,0,0,0,0,0,33,158,4.79,1,19,11,94,8.55,0,27,43.2,32.7,,82,
293,Kapri Bibbs\BibbKa00,DEN,RB,23,12,0,0,0,0,0,0,29,129,4.45,0,4,2,75,37.50,1,26,31.4,27.4,,83,
294,Alex Collins\CollAl00,SEA,RB,22,11,0,0,0,0,0,0,31,125,4.03,1,11,11,84,7.64,0,25,39.9,30.4,,84,
295,Seth Devalve\DevaSe00,CLE,TE,23,12,2,0,0,0,0,0,0,0,,0,12,10,127,12.70,2,25,37.7,29.7,,46,
296,Jeff Janis\JaniJe00,GNB,WR,25,16,1,0,0,0,0,0,2,38,19.00,1,19,11,93,8.45,1,25,36.1,30.6,,123,
297,Mychal Rivera\RiveMy00,OAK,TE,26,13,2,0,0,0,0,0,0,0,,0,25,18,192,10.67,1,25,46.2,34.2,,44,
298,Mike Tolbert*\TolbMi00,CAR,RB,31,16,2,0,0,0,0,0,35,114,3.26,0,15,10,72,7.20,1,25,37.6,29.6,,85,
299,Luke Willson\WillLu00,SEA,TE,26,11,6,0,0,0,0,0,0,0,,0,21,15,129,8.60,2,25,42.9,32.4,,45,
300,Orleans Darkwa\DarkOr00,NYG,RB,24,10,2,0,0,0,0,0,30,111,3.70,2,4,2,12,6.00,0,24,29.3,25.3,,86,
301,Kenneth Farrow\FarrKe02,SDG,RB,23,13,2,0,0,0,0,0,60,192,3.20,0,16,13,70,5.38,0,24,41.2,30.7,,87,
302,Xavier Grimble\GrimXa00,PIT,TE,24,13,2,0,0,0,0,0,0,0,,0,21,11,118,10.73,2,24,37.8,29.3,,47,
303,Jalin Marshall\MarsJa01,NYJ,WR,21,10,1,0,0,0,0,0,0,0,,0,23,14,162,11.57,2,24,43.2,31.2,,124,
