Michael Crabtree Oak,WR,Sun 12:00 pm @ NO,A Little Willly Pete,16.0,10,133.86,92%,117,,0.0,0.0,0.0,0.0,0.0,0.0,125,73.7,894,7.3,0.0,0.2,0.5 
Danny Woodhead SD,RB,Sun 12:00 pm @ KC,T.M.N. Bortles,16.0,11,133.24,79%,118,,0.0,0.0,0.0,104,399,2.2,79.5,64.7,599,3.2,0.1,0.1,1.2 
Michael Floyd Ari,WR,Sun 7:30 pm vs NE,Mariota Kart,16.0,9,133.15,96%,119,,0.0,0.0,0.0,0.0,0.0,0.0,98.1,57.6,946,6.3,0.0,0.2,0.4 
Ameer Abdullah Det,RB,Sun 3:25 pm @ Ind,All A'Bortles,16.0,10,131.88,76%,121,,0.0,0.0,0.0,163,693,4.2,44.6,31.9,254,1.7,0.2,0.2,1.2 
Coby Fleener NO,TE,Sun 12:00 pm vs Oak,FA,16.0,5,130.67,98%,123,,0.0,0.0,0.0,0.0,0.0,0.0,114,74.7,880,7.0,0.0,0.2,0.6 
Demaryius Thomas Den,WR,Thu 7:30 pm vs Car,Le'Veon a Prayer,16.0,11,129.30,100%,125,,0.0,0.0,0.0,0.0,0.0,0.0,141,86.2,979,5.2,0.0,0.1,0.6 
Sterling Shepard NYG,WR,Sun 3:25 pm @ Dal,FA,16.0,8,129.30,87%,126,,0.0,0.0,0.0,0.0,0.0,0.0,110,67.0,898,6.5,0.0,0.2,0.4 
T.J. Yeldon Jax,RB,Sun 12:00 pm vs GB,ChrisCartersFallGuys,16.0,5,128.03,64%,129,,0.0,0.0,0.0,150,614,4.2,46.1,37.8,298,1.8,0.0,0.2,1.1 
Allen Hurns Jax,WR,Sun 12:00 pm vs GB,ChrisCartersFallGuys,16.0,5,125.49,94%,133,,0.0,0.0,0.0,0.0,0.0,0.0,97.3,62.2,900,5.9,0.0,0.1,0.4 
Tyler Lockett Sea,WR,Sun 3:05 pm vs Mia,Le'Veon a Prayer,16.0,5,124.94,94%,134,,0.0,0.0,0.0,0.0,0.0,0.0,88.6,65.8,853,6.0,0.5,0.1,0.5 
Marvin Jones Jr. Det,WR,Sun 3:25 pm @ Ind,T.M.N. Bortles,16.0,10,124.14,92%,140,,0.0,0.0,0.0,3.7,18.5,0.1,95.4,66.8,885,5.5,0.0,0.1,0.4 
Vincent Jackson TB,WR,Sun 12:00 pm @ Atl,Angry Handies,16.0,6,123.77,75%,142,,0.0,0.0,0.0,0.0,0.0,0.0,106,60.8,887,5.8,0.0,0.1,0.4 
Justin Forsett Bal,RB,Sun 12:00 pm vs Buf,FA,16.0,8,121.33,67%,147,,0.0,0.0,0.0,166,687,4.3,34.7,30.0,194,1.1,0.0,0.1,1.3 
Chris Ivory Jax,RB,Sun 12:00 pm vs GB,Mariota Kart,16.0,5,121.07,89%,148,,0.0,0.0,0.0,176,736,4.9,20.5,17.7,137,0.6,0.0,0.1,1.2 
Torrey Smith SF,WR,Mon 9:20 pm vs LA,FA,16.0,8,118.71,63%,152,,0.0,0.0,0.0,0.0,0.0,0.0,96.6,56.1,931,4.2,0.0,0.1,0.4 
Willie Snead NO,WR,Sun 12:00 pm vs Oak,EanTop/WillisBottom,16.0,5,118.31,79%,154,,0.0,0.0,0.0,0.0,0.0,0.0,95.9,68.4,889,4.8,0.0,0.1,0.5 
Delanie Walker Ten,TE,Sun 12:00 pm vs Min,Mariota Kart,16.0,13,117.89,99%,155,,0.0,0.0,0.0,0.0,0.0,0.0,96.5,68.7,867,5.1,0.0,0.1,0.4 
Isaiah Crowell Cle,RB,Sun 12:00 pm @ Phi,Mariota Kart,16.0,13,117.15,58%,156,,0.0,0.0,0.0,188,747,5.1,14.8,13.0,94.5,0.3,0.0,0.1,1.2 
DeVante Parker Mia,WR,Sun 3:05 pm @ Sea,FA,16.0,8,116.42,89%,159,,0.0,0.0,0.0,0.0,0.0,0.0,96.1,55.9,878,4.7,0.0,0.1,0.4 
Rishard Matthews Ten,WR,Sun 12:00 pm vs Min,T.M.N. Bortles,16.0,13,116.11,43%,163,,0.0,0.0,0.0,0.0,0.0,0.0,91.7,65.8,878,4.7,0.0,0.1,0.4 
Charles Sims TB,RB,Sun 12:00 pm @ Atl,Angry Handies,16.0,6,116.02,50%,162,,0.0,0.0,0.0,82.5,357,2.1,60.2,47.2,536,2.3,0.0,0.1,0.9 
DeAngelo Williams Pit,RB,Mon 6:10 pm @ Was,Chaz's Crazy Team,16.0,8,115.15,92%,165,,0.0,0.0,0.0,128,547,5.9,26.1,21.6,172,1.2,0.0,0.2,1.0 
Travis Kelce KC,TE,Sun 12:00 pm vs SD,Le'Veon a Prayer,16.0,5,114.87,99%,168,,0.0,0.0,0.0,0.0,0.0,0.0,98.7,70.4,846,5.0,0.0,0.1,0.5 
DeSean Jackson Was,WR,Mon 6:10 pm vs Pit,T.M.N. Bortles,16.0,9,114.71,93%,169,,0.0,0.0,0.0,0.0,0.0,0.0,83.2,56.1,879,4.4,0.0,0.1,0.4 
Tavon Austin LA,WR,Mon 9:20 pm @ SF,All A'Bortles,16.0,8,113.47,87%,173,,0.0,0.0,0.0,35.8,189,1.0,87.3,55.2,665,3.1,0.4,0.1,0.6 
Travis Benjamin SD,WR,Sun 12:00 pm @ KC,EanTop/WillisBottom,16.0,11,112.71,77%,174,,0.0,0.0,0.0,0.0,0.0,0.0,96.5,55.9,797,5.4,0.0,0.1,0.4 
Corey Coleman Cle,WR,Sun 12:00 pm @ Phi,FA,16.0,13,111.60,71%,175,,0.0,0.0,0.0,4.2,27.2,0.1,92.6,56.0,745,5.6,0.0,0.1,0.4 
Emmanuel Sanders Den,WR,Thu 7:30 pm vs Car,All A'Bortles,16.0,11,111.00,95%,177,,0.0,0.0,0.0,4.1,23.6,0.1,120,68.8,807,4.1,0.4,0.1,0.5 
Gary Barnidge Cle,TE,Sun 12:00 pm @ Phi,T.M.N. Bortles,16.0,13,110.79,95%,178,,0.0,0.0,0.0,0.0,0.0,0.0,98.6,64.3,788,5.3,0.0,0.1,0.4 
Steve Smith Sr. Bal,WR,Sun 12:00 pm vs Buf,FA,16.0,8,110.76,50%,179,,0.0,0.0,0.0,0.0,0.0,0.0,90.5,58.5,836,4.5,0.0,0.1,0.4 
Zach Ertz Phi,TE,Sun 12:00 pm vs Cle,FA,16.0,4,110.26,96%,180,,0.0,0.0,0.0,0.0,0.0,0.0,98.5,69.4,798,5.0,0.0,0.1,0.4 
Michael Thomas NO,WR,Sun 12:00 pm vs Oak,FA,16.0,5,109.64,45%,181,,0.0,0.0,0.0,0.0,0.0,0.0,89.9,54.5,729,6.0,0.0,0.1,0.4 
Theo Riddick Det,RB,Sun 3:25 pm @ Ind,FA,16.0,10,107.74,34%,183,,0.0,0.0,0.0,55.4,218,1.4,78.0,65.9,577,3.2,0.0,0.1,0.8 
Kevin White Chi,WR,Sun 12:00 pm @ Hou,FA,16.0,9,107.50,81%,184,,0.0,0.0,0.0,0.0,0.0,0.0,95.7,59.2,783,4.8,0.0,0.1,0.4 
Phillip Dorsett Ind,WR,Sun 3:25 pm vs Det,FA,16.0,10,106.15,37%,186,,0.0,0.0,0.0,3.5,15.5,0.1,94.3,47.9,689,5.8,0.0,0.1,0.3 
Josh Gordon Cle,WR,Sun 12:00 pm @ Phi,FA,12.0,13,105.91,91%,187,,0.0,0.0,0.0,0.0,0.0,0.0,92.4,55.9,845,3.5,0.0,0.1,0.3 
Julius Thomas Jax,TE,Sun 12:00 pm vs GB,Björk'sPlatnumAlbum,16.0,5,104.65,95%,190,,0.0,0.0,0.0,0.0,0.0,0.0,97.3,59.1,676,6.1,0.0,0.1,0.4 
Stefon Diggs Min,WR,Sun 12:00 pm @ Ten,Björk'sPlatnumAlbum,16.0,6,103.55,83%,185,,0.0,0.0,0.0,4.4,18.7,0.1,96.8,65.3,740,4.4,0.0,0.1,0.5 
Markus Wheaton Pit,WR,Mon 6:10 pm @ Was,Chaz's Crazy Team,16.0,8,103.51,66%,191,,0.0,0.0,0.0,3.9,25.9,0.1,86.0,49.2,696,4.8,0.3,0.1,0.3 
Antonio Gates SD,TE,Sun 12:00 pm @ KC,ChrisCartersFallGuys,16.0,11,103.32,94%,192,,0.0,0.0,0.0,0.0,0.0,0.0,85.1,62.3,729,5.0,0.0,0.1,0.4 
